video_id,title,channel,view_count,like_count,comment,author,reply_to,comment_likes,published_at,clean_comment,clean_title,video_label,tokens,token_count
VWKd8B98ia4,Doctor Mike Reacts To House MD | Compilation,Doctor Mike,15137517,205800,3/3 are worms im scared for the next one 😔😔😔,@LexiMataya,,0,2026-04-03T06:52:08Z,are worms im scared for the next one,doctor mike reacts to house md compilation,doctor,"['worms', 'im', 'scared', 'next']",4
MTDkExiOwZU,4 Carnivore Experts: The Ultimate Carnivore Diet For Women 2024,The Primal Podcast,430393,15351,"@manakono2649 I am also Japanese and I have been questioning this. No “carnivore”  can rebuttal why we eat white rice without inflammation. Possibly the fermented foods. 
I’m currently doing carnivore and I’m miserable.  It’s not balanced. I feel off. I gained weight.  
I believe I would do better OFF carnivore and back to a basic Japanese  diet .",@beecampbell5903,@manakono2649,6,2025-03-24T11:23:09Z,manakono i am also japanese and i have been questioning this no carnivore can rebuttal why we eat white rice without inflammation possibly the fermented foods im currently doing carnivore and im miserable its not balanced i feel off i gained weight i believe i would do better off carnivore and back to a basic japanese diet,carnivore experts the ultimate carnivore diet for women,influencer,"['manakono', 'japanese', 'questioning', 'carnivore', 'rebuttal', 'eat', 'white', 'rice', 'without', 'inflammation', 'possibly', 'fermented', 'foods', 'im', 'currently', 'carnivore', 'im', 'miserable', 'balanced', 'feel', 'gained', 'weight', 'believe', 'better', 'carnivore', 'back', 'basic', 'japanese', 'diet']",29
WPIZdNqRVY4,I tried the Carnivore Diet for a week...,Will Tennyson,3073416,83599,"If you're craving carbs on keto, you're doing it wrong",@alexcrossley148,,0,2026-04-08T15:40:36Z,if youre craving carbs on keto youre doing it wrong,i tried the carnivore diet for a week,influencer,"['youre', 'craving', 'carbs', 'keto', 'youre', 'wrong']",6
gKvlB-n59og,NUTRITION TRUTHS That Wellness Influencers ❌ DON&#39;T ❌ Want You to Know,Abbey Sharp,217965,8778,"THANK YOU FOR SCIENCE. What moron would actually think oats are that bad for you when switching breakfast to oatmeal has been treating type 2 diabetes, high cholesterol, and heart disease for literal decades?

Thanks for the info on the EWG also, I had no idea they were a dubiously qualified panel of greenwashing capitalists 😬",@Kitsune-DAS,,0,2024-01-15T12:57:38Z,thank you for science what moron would actually think oats are that bad for you when switching breakfast to oatmeal has been treating type diabetes high cholesterol and heart disease for literal decades thanks for the info on the ewg also i had no idea they were a dubiously qualified panel of greenwashing capitalists,nutrition truths that wellness influencers dont want you to know,influencer,"['thank', 'science', 'moron', 'oats', 'bad', 'switching', 'breakfast', 'oatmeal', 'treating', 'type', 'diabetes', 'high', 'cholesterol', 'heart', 'disease', 'literal', 'decades', 'thanks', 'info', 'ewg', 'idea', 'dubiously', 'qualified', 'panel', 'greenwashing', 'capitalists']",26
h7PkIxS9Skg,Woman on Carnivore Diet | Kendahl Landreth,Kendahl Landreth,814593,42426,@AnneShirley1995😂😂😂,@pinklatte4655,@pinklatte4655,1,2025-07-23T14:08:44Z,anneshirley,woman on carnivore diet kendahl landreth,influencer,['anneshirley'],1
kEODwPMftHA,Doctors React To Horrifying Old Medical Devices,Doctor Mike,12738464,266633,Jesus loves you 😊❤😊,@Minielly24,,0,2025-11-13T21:46:10Z,jesus loves you,doctors react to horrifying old medical devices,doctor,"['jesus', 'loves']",2
m4stVVsKVRA,Doctor and Lawyer React To Grey’s Anatomy Malpractice Episode,Doctor Mike,14905060,305666,0:15 nobody ever means to screw up.... wtf.,@PaulK-NG,,0,2025-05-20T01:24:53Z,nobody ever means to screw up wtf,doctor and lawyer react to greys anatomy malpractice episode,doctor,"['nobody', 'ever', 'means', 'screw', 'wtf']",5
ePOGpL-UlH8,TikTok Carnivores Are Getting Worse,AugustTheDuck,618275,26610,"@ nah, they drank whisky when they were young, a few smoked. but when us grandchildren came along they quit.",@SoggyBarkTree,@SoggyBarkTree,0,2025-01-25T14:11:32Z,nah they drank whisky when they were young a few smoked but when us grandchildren came along they quit,tiktok carnivores are getting worse,influencer,"['nah', 'drank', 'whisky', 'young', 'smoked', 'us', 'grandchildren', 'came', 'along', 'quit']",10
HbUo1bmEUg4,Here&#39;s Why Doctor&#39;s NEVER Drink Detox Tea,Doctor Mike,1250824,63113,Yeah like a liver transplant a kidney transplant…,@Sans_The_Skeleton,@TremaineAkeWriting,0,2024-07-18T19:25:13Z,yeah like a liver transplant a kidney transplant,heres why doctors never drink detox tea,both,"['yeah', 'liver', 'transplant', 'kidney', 'transplant']",5
jzFY1KDoaeU,Pediatricians Debunk 16 Baby Myths,Insider Science,9781487,160233,Am I the only one that thinks the pediatrician might be on meth? She looks like every methhead in WV.,@m26nautica,,1,2025-06-16T17:42:15Z,am i the only one that thinks the pediatrician might be on meth she looks like every methhead in wv,pediatricians debunk baby myths,doctor,"['thinks', 'pediatrician', 'might', 'meth', 'looks', 'every', 'methhead', 'wv']",8
I_DJ1ney6Kk,Un médecin débunke vos influenceurs préférés !,Charles.co,103059,4232,Les deux 😊,@frederique3769,@zacbasil535,0,2026-03-02T08:46:16Z,les deux,un mdecin dbunke vos influenceurs prfrs,both,"['les', 'deux']",2
JP76ekb_DxI,Uncovering Corruption From Spiritual Leaders &amp; Health Experts | Scott Carney,Doctor Mike,552785,12929,""""" Telling the truth  "" Yes. Every scammer says """" trust me, I am not a scammer """"",@narniadan,,0,2026-03-10T19:12:49Z,telling the truth yes every scammer says trust me i am not a scammer,uncovering corruption from spiritual leaders amp health experts scott carney,doctor,"['telling', 'truth', 'yes', 'every', 'scammer', 'trust', 'scammer']",7
NY4W7PY3OBY,Doctor Reacts to HILARIOUS TikToks,Doctor Mike,13628710,354175,1:50 she can rlly transition too lol,@Xantheeeeee13,,0,2023-10-03T09:31:21Z,she can rlly transition too lol,doctor reacts to hilarious tiktoks,doctor,"['rlly', 'transition', 'lol']",3
nOgg-_vav_8,"Food Theory: Liver King, The RAW Truth! (Carnivore Diet)",The Food Theorists,5965267,161185,*Dont_Read_My_Names!*  .,@GriffinZambia,@RitzyRace,1,2022-12-27T18:18:26Z,dontreadmynames,food theory liver king the raw truth carnivore diet,influencer,['dontreadmynames'],1
BD4Ep93cfpI,"TREAT YOUR BODY LIKE A TEMPLE: Tips on eating healthy, workout routine, &amp; purity as a Christian girl",Ashley Hetherington,161215,9361,"I love this! I needed it, honestly. p.s I do find the clicking of the mouse distracting and a little annoying, it might just be a me issue though",@lilyhawes8500,,0,2023-05-13T21:08:16Z,i love this i needed it honestly ps i do find the clicking of the mouse distracting and a little annoying it might just be a me issue though,treat your body like a temple tips on eating healthy workout routine amp purity as a christian girl,both,"['love', 'needed', 'honestly', 'ps', 'find', 'clicking', 'mouse', 'distracting', 'little', 'annoying', 'might', 'issue', 'though']",13
gj4RJHq52Bk,“Influencers” don’t understand “raw milk”,Kyle Hill,491662,36880,i remember watching because science I miss it bro,@raritee.mp333,,0,2025-08-19T04:45:29Z,i remember watching because science i miss it bro,influencers dont understand raw milk,influencer,"['remember', 'watching', 'science', 'miss', 'bro']",5
S718YtbwrzY,Doctor Blocks Me For Correcting Him,Doctor Mike,10693953,319021,W @FootDocDana to help Mike,@Drippy_guu-123,,0,2026-01-10T01:15:49Z,w footdocdana to help mike,doctor blocks me for correcting him,doctor,"['w', 'footdocdana', 'help', 'mike']",4
1l77HA1ta-k,Doctor Reacts To The Wildest TikToks,Doctor Mike,13834039,330801,Bros finna goon,@DOZI_777,@AndrewGold-ko7rj,0,2025-07-31T03:41:38Z,bros finna goon,doctor reacts to the wildest tiktoks,doctor,"['bros', 'finna', 'goon']",3
4apUOuJO90A,EVERYONE Has Quit Carnivore! Doctor Explains,Dr. Eric Westman - Adapt Your Life,499037,16706,#meatheals,@Nick-gg6tg,,0,2025-06-27T15:27:45Z,meatheals,everyone has quit carnivore doctor explains,doctor,['meatheals'],1
rmx6kXSkujo,Doctor Fact-Checks Grandma’s Medical Advice,Doctor Mike,9919018,222931,6:45 looks like trump ate a bit too much carrots,@MehmetDenizAslan,,0,2026-05-19T08:24:48Z,looks like trump ate a bit too much carrots,doctor factchecks grandmas medical advice,doctor,"['looks', 'trump', 'ate', 'bit', 'much', 'carrots']",6
aRV0dpzuJcY,Fridge Vs Influencers. Zeher Kismein Hai?,Dr Jayesh Sharma,78418,2584,Thankyou,@jainishpatel4803,,2,2025-12-14T10:44:13Z,thankyou,fridge vs influencers zeher kismein hai,both,['thankyou'],1
ePOGpL-UlH8,TikTok Carnivores Are Getting Worse,AugustTheDuck,618275,26610,No ring on that finger wonder why😂,@ChrisPelletier73,,0,2025-03-14T03:14:57Z,no ring on that finger wonder why,tiktok carnivores are getting worse,influencer,"['ring', 'finger', 'wonder']",3
